d_ate,Total Trade,Total Volume,Total Value in Taka (mn),Total Market Cap in Taka (mn),DSEX Index,DSES Index,DS30 Index
8/8/2022,188447,299690935,10834.607,5112061.277,6258.95,1368.23881,2237.60027
8/7/2022,198404,345626533,11173.383,5138626.188,6304.00012,1376.83531,2259.56896
8/4/2022,201219,311990342,11902.605,5134773.995,6312.25085,1375.19123,2265.20423
8/3/2022,206841,336147664,11954.137,5122458.518,6300.10772,1370.5108,2258.82667
8/2/2022,205138,297720866,11832.748,5091331.749,6249.23299,1362.35567,2234.20828
8/1/2022,176470,256331240,9217.344,5050290.193,6163.99432,1347.08407,2204.18946
7/31/2022,126820,144941097,5679.594,5028777.175,6133.96031,1339.47712,2193.57505
7/28/2022,80052,100084806,4417.782,4921130.774,5980.5109,1308.20034,2145.25115
7/27/2022,118502,236282055,7784.318,4961474.751,6038.00311,1319.84173,2162.85243
7/26/2022,191090,223654172,8380.517,5007340.74,6112.24666,1333.98041,2190.02393
7/25/2022,141938,190252506,6399.594,4993465.175,6082.89805,1332.32101,2177.19879
7/24/2022,106854,144539057,4709.771,4984391.784,6052.44104,1328.36115,2168.15545
7/21/2022,141825,180161950,6769.341,5031190.466,6126.51637,1345.08597,2200.83339
7/20/2022,137857,166972439,6655.825,5028462.914,6138.78734,1346.25585,2206.08233
7/19/2022,76197,100787330,3193.502,5040988.973,6153.17741,1348.05555,2213.23518
7/18/2022,115352,134268226,5152.976,5090131.271,6216.89059,1359.63089,2235.83212
7/17/2022,149625,160947259,5934.981,5148236.814,6304.28873,1376.24209,2267.56134
7/14/2022,144334,143813003,5806.394,5159603.641,6324.50422,1377.35244,2273.85125
7/13/2022,139892,181955654,7023.113,5161022.24,6324.80821,1377.72226,2272.96258
7/12/2022,136334,189078515,6794.935,5179177.707,6355.48607,1385.63016,2284.13946
7/7/2022,144768,196012698,7886.612,5187724.766,6366.95744,1387.89136,2293.76785
7/6/2022,144579,171205272,7469.546,5193549.099,6366.0509,1389.19584,2299.86048
7/5/2022,188539,248585045,9607.961,5197541.611,6372.13365,1389.2524,2301.91749
7/4/2022,262953,190523236,6626.134,5172555.269,6346.88173,1385.16382,2283.95091
7/3/2022,160308,163920558,6548.339,5172428.708,6359.77777,1384.74672,2291.21048
6/30/2022,177763,233670165,9377.475,5177816.911,6376.94392,1386.77953,2295.58651
6/29/2022,160045,221318815,8056.987,5159387.877,6350.46648,1385.40832,2295.18362
6/28/2022,167385,226815650,8188.264,5157489.276,6342.59004,1385.65389,2294.58382
6/27/2022,149088,181973948,7007.627,5141236.001,6320.33335,1380.80733,2285.21334
6/26/2022,128772,159859657,5943.793,5131906.506,6301.08974,1378.86814,2286.6032
6/23/2022,140250,157974101,6837.437,5143164.605,6327.65291,1382.92979,2298.60151
6/22/2022,131831,183110019,6943.728,5133566.73,6317.80193,1381.47823,2293.95423
6/21/2022,121786,255990340,7258.836,5124259.486,6311.65565,1378.91115,2295.41866
6/20/2022,136962,189693348,8223.942,5149751.848,6357.3856,1388.02345,2314.57577
6/19/2022,162523,208210813,8957.84,5181296.883,6406.46981,1397.11354,2329.95399
6/16/2022,190270,259789529,10466.322,5193116.634,6425.73633,1403.25623,2327.946
6/15/2022,177080,246937735,9438.897,5165353.436,6374.5127,1389.59829,2301.91914
6/14/2022,171642,221287935,8749.198,5162404.379,6361.39055,1387.6774,2300.91216
6/13/2022,137795,199889240,7981.972,5178244.832,6391.99015,1394.82983,2316.97654
6/12/2022,136251,176268522,6364.07,5201052.509,6431.46025,1403.07966,2334.64802
6/9/2022,149850,195445941,7582.662,5228818.256,6480.30092,1413.74492,2352.38436
6/8/2022,179953,294379665,9196.574,5231718.127,6484.24844,1412.95376,2353.64508
6/7/2022,170205,193662301,7398.138,5221754.082,6468.6041,1410.89114,2350.76825
6/6/2022,198192,248774922,9740.72,5240759.127,6489.17129,1416.95806,2361.34005
6/5/2022,188210,257800562,9501.044,5245744.251,6497.39319,1426.07575,2373.80096
6/2/2022,181579,242890339,8751.071,5202772.06,6451.53162,1415.72271,2355.68252
6/1/2022,162282,206507568,7431.205,5192032.196,6433.1729,1412.56394,2355.85875
5/31/2022,138655,174925525,6378.768,5167653.297,6392.85911,1403.53136,2350.25325
5/30/2022,169030,237486285,8364.017,5171327.407,6388.65989,1401.48841,2350.80721
5/29/2022,159771,211898643,8336.186,5164254.273,6369.33221,1399.74038,2346.94133
5/26/2022,105416,124547007,5391.257,5080025.09,6237.9798,1373.7086,2307.38702
5/25/2022,119149,135311789,5131.172,5051582.06,6187.64948,1363.45966,2287.98872
5/24/2022,147095,193443970,6608.422,5074177.623,6211.46086,1367.28199,2295.05216
5/23/2022,145708,176541739,6589.369,5110645.224,6261.54535,1376.99079,2309.75179
5/22/2022,144335,219415379,6822.14,5031662.002,6142.681,1361.7304,2277.16451
5/19/2022,155461,175799671,6688.812,5098721.787,6258.24873,1383.0427,2316.6813
5/18/2022,177420,206011787,7629.356,5134933.067,6309.91585,1391.50679,2336.48534
5/17/2022,183823,209639877,7797.648,5194283.232,6403.50516,1408.76933,2363.66612
5/16/2022,220284,290244800,10241.542,5217616.599,6430.93179,1410.29927,2365.92295
5/12/2022,186651,201040617,8233.611,5310129.951,6565.4702,1432.17198,2406.91939
5/11/2022,201327,241290227,11357.087,5337464.399,6591.99032,1433.41312,2420.64343
5/10/2022,247305,320245121,12580.058,5384343.791,6665.61461,1448.89288,2435.774
5/9/2022,224200,273935729,12083.187,5407887.377,6698.08398,1454.13674,2449.39575
5/8/2022,216879,235640893,9725.367,5384374.161,6669.41844,1447.41829,2449.2534
5/5/2022,112923,113840008,4687.066,5365983.087,6643.16613,1443.6369,2453.5718
4/28/2022,174579,200498772,8698.147,5369610.866,6655.6665,1446.98328,2460.76757
4/27/2022,147314,181661908,9324.932,5391472.021,6677.64445,1453.43358,2466.16496
4/26/2022,144993,145232370,7667.463,5390496.401,6677.56799,1456.40024,2474.32743
4/25/2022,138617,144216698,5930.163,5372871.76,6666.91159,1454.63867,2476.57165
4/24/2022,190218,208913624,8958.424,5373661.555,6683.2389,1461.54506,2486.12621
4/21/2022,184332,181230981,7540.773,5356181.42,6662.36324,1464.6282,2478.07504
4/20/2022,148933,138231724,6059.716,5318212.489,6606.41056,1454.1271,2463.83815
4/19/2022,154304,138348873,5998.473,5268177.924,6530.06777,1443.40314,2436.11843
4/18/2022,232154,96421740,3903.887,5229760.949,6482.38116,1428.67689,2409.68739
4/17/2022,86919,90649795,3939.792,5277613.3,6554.87364,1442.22289,2435.00388
4/13/2022,102724,125750510,5296.942,5290246.582,6584.97476,1447.78888,2440.45252
4/12/2022,90763,124471637,5329.508,5285073.818,6574.07285,1442.87693,2431.64914
